Date,Open,High,Low,Close,Volume,Market Cap,Created_At,Sum of retweet_count,Sum of favorite_count,Avg Retweet,Avg favorite_count,Google Trends,Num_upvotes,Avg_Up_Ratio,Post_Count,Comments_Count,Dependent Variable
8/20/2017,39.63,40.65,38.16,38.19,85862200,1981640000,1,55,96,55,96,79,614,0.926666667,7,316,0
8/19/2017,38.86,42.22,35.4,39.97,168358000,1943180000,0,0,0,0,0,85,157,0.97,2,93,1
8/18/2017,40.85,41.16,31.32,38.85,209845000,2042450000,5,274,645,54.8,129,84,244,0.96,4,45,0
8/17/2017,45.72,46.34,38.91,40.69,191410000,2286130000,4,274,422,68.5,105.5,88,272,0.98,2,161,0
8/16/2017,46.98,51.24,44.69,45.54,170273000,2349050000,6,299,522,49.83333333,87,94,227,0.95,3,55,0
8/15/2017,47.5,47.99,39.52,47.49,262801000,2375010000,5,458,743,91.6,148.6,93,218,0.956666667,5,118,1
8/14/2017,47.63,52.02,44.79,47.43,343705000,2381360000,4,626,975,156.5,243.75,97,344,0.992,5,71,1
8/13/2017,36.86,52.63,35.32,46.65,448654000,1843040000,3,379,561,126.3333333,187,100,473,0.963333333,4,108,1
8/12/2017,33.16,37.37,30.45,36.61,177772000,1657810000,6,199,346,33.16666667,57.66666667,77,149,0.905,3,65,1
8/11/2017,36.32,39.13,27.58,33.5,382070000,1815780000,11,693,795,63,72.27272727,78,130,0.9,2,47,0
8/10/2017,21.68,38.44,21.36,36.18,360125000,1084180000,11,434,848,39.45454545,77.09090909,76,153,0.88,1,17,1
8/9/2017,18.34,21.94,17.46,21.75,116795000,917009000,8,365,639,45.625,79.875,69,210,0.965,3,258,1
8/8/2017,18.73,19.34,15.59,18.27,124589000,936705000,15,323,530,21.53333333,35.33333333,67,88,0.98,1,185,0
8/7/2017,15.2,20.24,14.36,18.68,166514000,759959000,8,117,306,14.625,38.25,68,185,0.975,2,63,1
8/6/2017,14.17,16.19,13.42,15.21,81450800,708471000,3,529,875,176.3333333,291.6666667,65,0,0,0,0,1
8/5/2017,10.39,14.95,10.24,14.02,82680400,519506000,3,216,348,72,116,65,76,0.97,2,15,1
8/4/2017,10.84,11.22,9.97,10.43,56285500,541832000,4,41,212,10.25,53,62,150,0.95,2,45,0
8/3/2017,8.19,10.7,8.06,10.67,49848800,409434000,12,501,506,41.75,42.16666667,61,0,0,0,0,1
8/2/2017,7.85,8.3,7.71,8.11,17559000,392732000,6,183,124,30.5,20.66666667,60,39,0.91,1,11,1
8/1/2017,7.36,8.2,6.96,7.86,18527900,368123000,4,142,13,35.5,3.25,61,0,0,0,0,1
7/31/2017,7.16,7.43,7.02,7.33,10856600,358222000,3,99,24,33,8,61,0,0,0,0,1
7/30/2017,7.27,7.3,6.94,7.15,9006030,363345000,9,90,73,10,8.111111111,60,47,0.89,1,2,0
